Código Departamento,Código Entidad,prov
15,15407,20859.38
15,15425,12207.79
15,15442,10282.050000000001
15,15455,13303.75
15,15464,6062.52
15,15466,6165.32
15,15469,25739.649999999998
15,15476,7792.64
15,15480,13802.789999999999
15,15491,20874.46
15,15494,8281.26
15,15500,6214.450000000001
15,15507,20624.100000000002
15,15511,5629.74
15,15514,10450.09
15,15516,34609.21
15,15518,7653.1
15,15522,4011.2799999999997
15,15531,12435.439999999999
15,15533,10290.39
15,15537,6036.82
15,15542,10119.81
15,15550,7517.51
15,15572,69215.23999999999
15,15580,9294.16
15,15599,18416.37
15,15600,12329.3
15,15621,5054.99
15,15632,15534.710000000001
15,15638,9380.92
15,15646,23925.2
15,15660,3934.33
15,15664,7780.700000000001
15,15667,8068.65
15,15673,6445.000000000001
15,15676,6489.36
15,15681,9582.380000000001
15,15686,11901.150000000001
15,15690,8799.19
15,15693,12040.59
15,15696,9370.21
15,15720,5285.17
15,15723,3867.5499999999997
15,15740,10381.439999999999
15,15753,9729.93
15,15755,10611.17
15,15757,7843.7
15,15759,144387.87
15,15761,8654.839999999998
15,15762,5120.11
15,15763,8392.75
15,15764,11632.14
15,15774,2931.0800000000004
15,15776,17647.31
15,15778,7623.25
15,15790,5789.700000000001
15,15798,6993.03
15,15804,13744.68
15,15806,15879.83
15,15808,5797.98
15,15810,10876.92
15,15814,11033.25
15,15816,8656.779999999999
15,15820,5092.95
15,15822,8243.64
15,15832,12073.550000000001
15,15835,8418.330000000002
15,15837,20872.16
15,15839,7367.53
15,15842,16235.789999999999
15,15861,16103.07
15,15879,4819.470000000001
15,15897,10314.31
17,17000,0.0
17,17001,390083.33999999997
17,17013,20860.379999999997
17,17042,29381.930000000004
17,17050,15233.419999999998
17,17088,16298.609999999999
17,17174,36025.450000000004
17,17272,12509.150000000001
17,17380,63254.14
17,17388,8900.25
17,17433,19262.679999999997
17,17442,10493.99
17,17444,14520.56
17,17446,3457.0699999999997
17,17486,17855.299999999996
17,17495,11919.08
17,17513,17553.38
17,17524,15708.25
17,17541,21267.969999999998
17,17614,51560.78999999999
17,17616,10825.560000000001
17,17653,14293.779999999999
17,17662,23002.850000000002
17,17665,8361.439999999999
17,17777,24190.37
17,17867,15950.220000000001
17,17873,26015.38
17,17877,11372.59
18,18000,0.0
18,18001,249254.80000000002
18,18029,7342.93
18,18094,12594.44
18,18150,30880.87
18,18205,9578.92
18,18247,24808.72
18,18256,14409.150000000001
18,18410,20172.81
18,18460,12289.769999999999
18,18479,5392.8
18,18592,25886.64
18,18610,38989.14000000001
18,18753,49176.54
18,18756,18613.38
18,18785,11216.81
18,18860,9172.57
19,19000,0.0
19,19001,371665.78
19,19022,22037.26
19,19050,36157.41
19,19075,24330.600000000002
19,19100,38242.689999999995
19,19110,19640.88
19,19130,37371.63
19,19137,35545.74
19,19142,30130.13
19,19212,28303.910000000003
19,19256,40679.39
19,19290,9542.03
19,19300,18584.68
19,19318,29267.82
19,19355,27396.35
19,19364,19506.77
19,19392,14534.880000000001
19,19397,23910.01
19,19418,18582.07
19,19450,13590.369999999999
19,19455,30981.85
19,19473,30506.39
19,19513,6670.83
19,19517,34650.96
19,19532,34256.340000000004
19,19533,15075.609999999999
19,19548,37012.409999999996
19,19573,32910.99
19,19585,16538.530000000002
19,19622,12372.99
19,19693,14623.329999999998
19,19698,73834.76000000001
19,19701,9455.22
19,19743,31336.799999999996
19,19760,13485.11
19,19780,21815.050000000003
19,19785,12862.13
19,19807,29902.79
19,19809,24372.730000000003
19,19821,33379.49
19,19824,25349.489999999998
19,19845,17373.33
20,20000,0.0
20,20001,649602.83
20,20011,87639.12
20,20013,65537.88
20,20032,23345.96
20,20045,41852.380000000005
20,20060,40977.26
20,20175,34603.65
20,20178,40099.15
20,20228,34855.61
20,20238,28100.129999999997
20,20250,48433.97
20,20295,16934.44
20,20310,15434.510000000002
20,20383,22365.809999999998
20,20400,90370.03
20,20443,12744.56
20,20517,19450.1
20,20550,27109.78
20,20570,34733.2
20,20614,24338.21
20,20621,32554.649999999998
20,20710,22794.04
20,20750,23640.579999999998
20,20770,30457.850000000002
20,20787,22742.54
23,23000,0.0
23,23001,689320.96
23,23068,52441.56
23,23079,27291.71
23,23090,27519.140000000003
23,23162,103510.56
23,23168,15526.71
23,23182,53857.58
23,23189,98432.38
23,23300,27012.370000000003
23,23350,13837.33
23,23417,197701.25
23,23419,31029.33
23,23464,23016.62
23,23466,82954.95999999999
23,23500,27501.449999999997
23,23555,67517.58
23,23570,36551.82
23,23574,32001.170000000002
23,23580,52710.43
23,23586,19866.95
23,23660,160348.7
23,23670,42034.030000000006
23,23672,50662.94
23,23675,36449.009999999995
23,23678,22647.34
23,23682,21387.54
23,23686,38485.32
23,23807,122562.03
23,23815,50511.75
23,23855,38049.299999999996
25,25000,0.0
25,25001,17530.46
25,25019,12494.23
25,25035,29997.839999999997
25,25040,13510.45
25,25053,14624.390000000001
25,25086,8532.78
25,25095,5488.44
25,25099,14742.91
25,25120,7983.53
25,25123,9767.68
25,25126,82388.62000000001
25,25148,22051.3
25,25151,21764.230000000003
25,25154,12240.85
25,25168,9301.369999999999
25,25175,184291.25
25,25178,18261.52
25,25181,15556.49
25,25183,20706.58
25,25200,22945.84
25,25214,184830.71
25,25224,6490.6
25,25245,24678.87
25,25258,12193.94
25,25260,15802.500000000002
25,25269,118650.04
25,25279,18898.570000000003
25,25281,7944.05
25,25286,137646.13999999998
25,25288,8053.210000000001
25,25290,146303.29
25,25293,17030.6
25,25295,13935.390000000001
25,25297,18929.57
25,25299,10160.75
25,25307,102046.71
